"Old IP";"DDNS";"New IP"
71.94.105.234;joshua.asuscomm.com;116.48.50.23
104.173.30.230;tuskeraider19021636.asuscomm.com;104.173.4.204
172.243.81.13;tobitomson58325.asuscomm.com;75.107.62.141
24.153.192.253;lfqw31menkp1kuw61141513445.asuscomm.com;107.9.131.27
142.196.171.38;AEDC09B8AE523E5001B6FF0145E6DF3DE.asuscomm.com;142.196.184.60
173.164.192.92;cdkfladngfg.asuscomm.com;36.86.63.182
69.129.154.62;asusrtn66u69129.asuscomm.com;69.129.154.19
77.224.223.45;8b3408315c2c.sn.mynetname.net;77.224.223.149
172.254.170.5;7632078cfa77.sn.mynetname.net;36.86.63.182
216.195.16.146;AC619E5D0D8C1C54BA2C21A7BD12A0596.asuscomm.com;64.30.93.79
216.98.67.49;asusmasus2019tomy.asuscomm.com;36.86.63.182
216.67.116.106;neby.dyndns.org;216.67.5.115
216.86.182.139;c2ad3c850432d1180f1e7c114c3596995.asuscomm.com;36.86.63.180
63.245.156.31;FUCKFUCK3456.asuscomm.com;63.245.156.30
184.75.2.36;851b0876925e.sn.mynetname.net;36.86.63.182
64.201.88.89;8b0008ce98be.sn.mynetname.net;36.86.63.182
174.80.28.129;469a02d680c5.sn.mynetname.net;96.38.69.186
50.224.38.96;6322050cec24.sn.mynetname.net;50.224.38.50
64.60.47.146;massusaasus8.asuscomm.com;36.86.63.180
65.25.70.184;maslykhome.dyndns.biz;104.230.30.190
163.182.131.195;7632078cfa77.sn.mynetname.net;36.86.63.182
64.106.64.8;477602dcef92.sn.mynetname.net;36.66.1.8
67.172.24.237;830908829e62.sn.mynetname.net;36.86.63.182
67.54.175.163;67d307bc034a.sn.mynetname.net;184.62.6.117
42.3.148.20;ADC7C5D74E34E104.asuscomm.com;58.153.215.19
42.3.121.65;F9507AF6D26F6957B8.asuscomm.com;42.98.123.232
42.3.52.10;D25042FB09ACA8308.asuscomm.com;36.86.63.182
61.93.31.162;bestofthebest3004380.asuscomm.com;61.93.31.232
61.92.138.60;wildafong.asuscomm.com;123.202.228.117
42.200.245.9;cbt04.asuscomm.com;42.200.167.81
61.239.22.226;fredlamhome.asuscomm.com;61.239.22.205
61.239.168.43;hkvp3804164.asuscomm.com;36.86.63.180
108.188.213.182;may108188net.mynetgear.com;108.188.213.176
68.70.241.170;may687012net.mynetgear.com;68.70.241.178
96.233.40.45;may96233netgg.mynetgear.com;96.252.71.246
184.166.161.2;may184166netg.mynetgear.com;174.45.9.76
178.200.189.53;jun178200netDE.mynetgear.com;178.200.189.67
47.13.112.152;mynet4713jun112.mynetgear.com;47.13.127.245
66.42.190.176;myntg6642u.mynetgear.com;74.83.101.139
47.32.47.118;mynetgn4732u.mynetgear.com;96.37.108.245
98.202.192.246;freestorevpn98202u.mynetgear.com;174.52.102.163
137.119.154.53;sdgwegw235.mynetgear.com;137.119.154.103
67.176.160.53;jacobsengodfryvpnus.mynetgear.com;67.175.232.250
50.34.119.125;r7000vpn50243.mynetgear.com;50.35.36.85
74.72.249.85;r7000vpndrgrevb.mynetgear.com;24.102.113.98
64.90.219.143;6490x6r800vpn.mynetgear.com;64.90.219.175
170.75.128.199;x6r800vpn17075.mynetgear.com;170.75.132.57
104.219.150.10;104219vpnr7000p.mynetgear.com;104.219.151.238
199.36.225.219;r6400vpn19936.mynetgear.com;199.36.225.206
207.191.138.36;207191r7000vpn.mynetgear.com;207.191.141.42
68.177.65.176;68177vpnr7300m.mynetgear.com;68.177.65.167
149.20.224.25;crazydaisyvpn.mynetgear.com;36.66.1.8
75.107.236.36;MonsantoWildervpn.mynetgear.com;76.8.12.1
50.46.121.148;yigao9vpn.mynetgear.com;50.35.69.32
72.2.244.99;72222vpnr6900v2n.mynetgear.com;64.57.175.239
208.93.131.188;208931vpnr6400fm.mynetgear.com;208.77.59.115
174.55.59.75;174555vpnx6r8000sk.mynetgear.com;174.55.64.187
71.80.68.7;7180yesvpnr6250.mynetgear.com;71.80.86.174
63.249.53.71;63vpn249yesr6250.mynetgear.com;63.249.53.86
134.228.44.61;134228yvyr6700v2.mynetgear.com;134.228.42.157
206.109.176.215;206109novpnr6250.mynetgear.com;206.109.176.134
67.86.98.79;67869879vpnr6700v2.mynetgear.com;67.86.99.1
97.104.213.48;329jf2bhjawqwjvpn.mynetgear.com;142.197.185.253
80.13.141.176;dvrh1.opstest.dnsdemes.com;36.86.63.182
86.248.158.127;jhanobody-herejha.asuscomm.com;86.194.231.102
88.126.21.82;AB707B0178C6B607A4114.asuscomm.com;36.86.63.182
87.219.232.161;petete3490.asuscomm.com;87.219.232.192
87.8.31.230;dangio.asuscomm.com;79.54.23.81
79.24.252.193;asus83124x.asuscomm.com;79.30.171.208
79.50.81.88;testgiorgio.homepc.it;36.86.63.182
87.13.178.78;asusdsln14u2145.asuscomm.com;36.86.63.182
82.56.163.6;parrocchiaprata.asuscomm.com;79.41.233.250
88.56.222.1;asus2221x.asuscomm.com;36.86.63.182
95.250.242.203;asusrouterdns.asuscomm.com;79.32.27.95
79.25.221.55;mizar13.dyndns.org;95.232.150.150
87.5.229.119;awietnxgtkcs.asuscomm.com;82.60.191.12
87.14.122.172;vfdezzx111.asuscomm.com;79.54.154.38
94.225.148.171;frightstreet.asuscomm.com;81.164.231.212
84.115.13.193;CE8980DCED70.asuscomm.com;36.86.63.182
71.234.73.211;71234dfsaf124.mynetgear.com;73.167.130.209
